Countries,vac
Afghanistan,78.0
Albania,99.0
Algeria,99.0
Angola,86.0
Argentina,93.0
Armenia,99.0
Austria,
Azerbaijan,97.0
Bangladesh,99.0
Belarus,98.0
Belize,99.0
Benin,89.0
Bhutan,99.0
Bolivia (Plurinational State of),90.0
Bosnia and Herzegovina,95.0
Botswana,98.0
Brazil,90.0
Brunei Darussalam,99.0
Bulgaria,96.0
Burkina Faso,98.0
Burundi,91.0
Cabo Verde,96.0
Cambodia,93.0
Cameroon,88.0
Central African Republic,74.0
Chad,59.0
Chile,96.0
China,99.0
Colombia,89.0
Comoros,94.0
Congo,81.0
Cook Islands,99.0
Costa Rica,92.0
C̫te d'Ivoire,98.0
Croatia,98.0
Cuba,99.0
Czechia,
Democratic People's Republic of Korea,96.0
Democratic Republic of the Congo,83.0
Djibouti,93.0
Dominica,95.0
Dominican Republic,99.0
Ecuador,90.0
Egypt,95.0
El Salvador,81.0
Equatorial Guinea,63.0
Eritrea,97.0
Estonia,92.0
Eswatini,98.0
Ethiopia,85.0
Fiji,99.0
Finland,
France,
Gabon,87.0
Gambia,94.0
Georgia,97.0
Ghana,98.0
Greece,
Guatemala,88.0
Guinea,72.0
Guinea-Bissau,91.0
Guyana,99.0
Haiti,83.0
Honduras,94.0
Hungary,99.0
India,92.0
Indonesia,81.0
Iran (Islamic Republic of),99.0
Iraq,95.0
Ireland,
Israel,
Jamaica,93.0
Japan,99.0
Jordan,94.0
Kazakhstan,95.0
Kenya,95.0
Kiribati,89.0
Kuwait,99.0
Kyrgyzstan,97.0
Lao People's Democratic Republic,79.0
Latvia,95.0
Lesotho,98.0
Liberia,92.0
Libya,99.0
Lithuania,96.0
Madagascar,70.0
Malawi,92.0
Malaysia,98.0
Maldives,99.0
Mali,83.0
Malta,
Marshall Islands,98.0
Mauritania,90.0
Mauritius,99.0
Mexico,96.0
Micronesia (Federated States of),80.0
Monaco,89.0
Mongolia,99.0
Montenegro,83.0
Morocco,99.0
Mozambique,95.0
Myanmar,90.0
Namibia,94.0
Nauru,99.0
Nepal,96.0
Nicaragua,98.0
Niger,87.0
Nigeria,53.0
Niue,99.0
Oman,99.0
Pakistan,86.0
Panama,99.0
Papua New Guinea,69.0
Paraguay,91.0
Peru,81.0
Philippines,75.0
Poland,92.0
Portugal,
Qatar,99.0
Republic of Korea,98.0
Republic of Moldova,96.0
Republic of North Macedonia,97.0
Romania,96.0
Russian Federation,95.0
Rwanda,97.0
Saint Kitts and Nevis,97.0
Saint Lucia,99.0
Saint Vincent and the Grenadines,99.0
Samoa,62.0
Sao Tome and Principe,96.0
Saudi Arabia,98.0
Senegal,83.0
Serbia,98.0
Seychelles,97.0
Sierra Leone,90.0
Singapore,98.0
Slovakia,
Slovenia,
Solomon Islands,83.0
Somalia,37.0
South Africa,70.0
South Sudan,52.0
Sri Lanka,99.0
Sudan,88.0
Sweden,26.0
Syrian Arab Republic,79.0
Tajikistan,99.0
Thailand,99.0
Timor-Leste,95.0
Togo,83.0
Tonga,88.0
Tunisia,92.0
Turkey,96.0
Turkmenistan,98.0
Tuvalu,99.0
Uganda,88.0
Ukraine,90.0
United Arab Emirates,95.0
United Republic of Tanzania,99.0
Uruguay,98.0
Uzbekistan,96.0
Vanuatu,94.0
Venezuela (Bolivarian Republic of),92.0
Viet Nam,95.0
Yemen,64.0
Zambia,91.0
Zimbabwe,95.0
